"","actor_type","storyline","count","fraction","actor_sum"
"1","Academic and Research","[Decentralization is beneficial (D)]",8,0.195121951219512,41
"2","Academic and Research","[Centralization is needed instead (C)]",7,0.170731707317073,41
"3","Academic and Research","[Introducing EPA leads to legal Issues]",4,0.0975609756097561,41
"4","Academic and Research","[EPA simplifies procedures (Simple)]",3,0.0731707317073171,41
"5","Academic and Research","[EPA's Introduction should (Postpone)]",3,0.0731707317073171,41
"6","Academic and Research","[Process of Implementation threatens me]",3,0.0731707317073171,41
"7","Academic and Research","[Resources are lacking for municipalities]",3,0.0731707317073171,41
"8","Academic and Research","[EPA should be cancelled (Cancel)]",2,0.0487804878048781,41
"9","Academic and Research","Intention is good but effectiveness depends on implementation",1,0.024390243902439,41
"10","Academic and Research","More direction and support from national government",1,0.024390243902439,41
"11","Academic and Research","Municipalities can do more for citizen participation",1,0.024390243902439,41
"12","Academic and Research","Terms of municipal councilors should be extended",1,0.024390243902439,41
"13","Academic and Research","[EPA is effective at sectoral integration]",1,0.024390243902439,41
"14","Academic and Research","[EPA not effective for CP (Not CP)]",1,0.024390243902439,41
"15","Academic and Research","[EPA should not be cancelled (Not Cancel)]",1,0.024390243902439,41
"16","Academic and Research","[EPA's Introduction should (Not Postpone)]",1,0.024390243902439,41
"17","Architectural & Planning Associations","[Decentralization is beneficial (D)]",1,0.5,2
"18","Architectural & Planning Associations","[Introducing EPA leads to legal Issues]",1,0.5,2
"19","Community and Civic Groups","[Decentralization is beneficial (D)]",3,0.166666666666667,18
"20","Community and Civic Groups","[EPA not effective for CP (Not CP)]",3,0.166666666666667,18
"21","Community and Civic Groups","New noise standards are good to curb noise pollution",2,0.111111111111111,18
"22","Community and Civic Groups","[Centralization is needed instead (C)]",2,0.111111111111111,18
"23","Community and Civic Groups","[EPA is effective for CP (CP)]",2,0.111111111111111,18
"24","Community and Civic Groups","EPA must strike a balance between using and protecting space",1,0.0555555555555556,18
"25","Community and Civic Groups","EV can be more ambitious",1,0.0555555555555556,18
"26","Community and Civic Groups","Municipalities can do more for citizen participation",1,0.0555555555555556,18
"27","Community and Civic Groups","Simplification benefits initators not government",1,0.0555555555555556,18
"28","Community and Civic Groups","[EPA simplifies procedures (Simple)]",1,0.0555555555555556,18
"29","Community and Civic Groups","[Introducing EPA leads to legal Issues]",1,0.0555555555555556,18
"30","Developers and Construction","[EPA is effective for CP (CP)]",8,0.235294117647059,34
"31","Developers and Construction","[Centralization is needed instead (C)]",4,0.117647058823529,34
"32","Developers and Construction","[EPA does not simplify procedures (Not Simple)]",3,0.0882352941176471,34
"33","Developers and Construction","[Resources are lacking for municipalities]",3,0.0882352941176471,34
"34","Developers and Construction","Citizen participation makes progress slower",2,0.0588235294117647,34
"35","Developers and Construction","[Decentralization is beneficial (D)]",2,0.0588235294117647,34
"36","Developers and Construction","[EPA not effective for CP (Not CP)]",2,0.0588235294117647,34
"37","Developers and Construction","[EPA simplifies procedures (Simple)]",2,0.0588235294117647,34
"38","Developers and Construction","Citizen participation leads to conflicts",1,0.0294117647058824,34
"39","Developers and Construction","Effect of WkB postponed",1,0.0294117647058824,34
"40","Developers and Construction","New noise standards hinder housing construction",1,0.0294117647058824,34
"41","Developers and Construction","Simplification helps with housing construction",1,0.0294117647058824,34
"42","Developers and Construction","Simplification is not better for planning",1,0.0294117647058824,34
"43","Developers and Construction","[EPA is effective at sectoral integration]",1,0.0294117647058824,34
"44","Developers and Construction","[Introducing EPA leads to legal Issues]",1,0.0294117647058824,34
"45","Developers and Construction","[Process of Implementation threatens me]",1,0.0294117647058824,34
"46","Environmental Groups","[Centralization is needed instead (C)]",3,0.25,12
"47","Environmental Groups","[Decentralization is beneficial (D)]",3,0.25,12
"48","Environmental Groups","[EPA is effective for CP (CP)]",2,0.166666666666667,12
"49","Environmental Groups","Municipalities can do more for citizen participation",1,0.0833333333333333,12
"50","Environmental Groups","New noise standards hinder housing construction",1,0.0833333333333333,12
"51","Environmental Groups","[EPA does not simplify procedures (Not Simple)]",1,0.0833333333333333,12
"52","Environmental Groups","[Introducing EPA leads to legal Issues]",1,0.0833333333333333,12
"53","Government (Municipal)","[Resources are lacking for municipalities]",17,0.151785714285714,112
"54","Government (Municipal)","[Decentralization is beneficial (D)]",14,0.125,112
"55","Government (Municipal)","[EPA is effective for CP (CP)]",14,0.125,112
"56","Government (Municipal)","[Process of Implementation threatens me]",10,0.0892857142857143,112
"57","Government (Municipal)","[EPA not effective for CP (Not CP)]",7,0.0625,112
"58","Government (Municipal)","[EPA is effective at sectoral integration]",6,0.0535714285714286,112
